name,type,mana_cost,power,toughness,rarity,colors,text
Hoarding Dragon,Creature — Dragon,{3}{R}{R},4,4,uncommon,R,"Flying
When this creature enters, you may search your library for an artifact card, exile it, then shuffle.
When this creature dies, you may put the exiled card into its owner's hand."
"Lathliss, Dragon Queen",Legendary Creature — Dragon,{4}{R}{R},6,6,rare,R,"Flying
Whenever another nontoken Dragon you control enters, create a 5/5 red Dragon creature token with flying.
{1}{R}: Dragons you control get +1/+0 until end of turn."
Mindsparker,Creature — Elemental,{1}{R}{R},3,2,uncommon,R,"First strike (This creature deals combat damage before creatures without first strike.)
Whenever an opponent casts a white or blue instant or sorcery spell, this creature deals 2 damage to that player."
Obliterating Bolt,Sorcery,{1}{R},,,uncommon,R,"Obliterating Bolt deals 4 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead."
Ravenous Giant,Creature — Giant,{2}{R}{R},5,5,uncommon,R,"At the beginning of your upkeep, this creature deals 1 damage to you."
Redcap Gutter-Dweller,Creature — Goblin Warrior,{2}{R}{R},3,3,rare,R,"Menace
When this creature enters, create two 1/1 black Rat creature tokens with ""This token can't block.""
At the beginning of your upkeep, you may sacrifice another creature. If you do, put a +1/+1 counter on this creature and exile the top card of your library. You may play that card this turn."
Stromkirk Noble,Creature — Vampire Noble,{R},1,1,rare,R,"This creature can't be blocked by Humans.
Whenever this creature deals combat damage to a player, put a +1/+1 counter on it."
Taurean Mauler,Creature — Shapeshifter,{2}{R},2,2,rare,R,"Changeling (This card is every creature type.)
Whenever an opponent casts a spell, you may put a +1/+1 counter on this creature."
Viashino Pyromancer,Creature — Lizard Wizard,{1}{R},2,1,common,R,"When this creature enters, it deals 2 damage to target player or planeswalker."
Circuitous Route,Sorcery,{3}{G},,,uncommon,G,"Search your library for up to two basic land cards and/or Gate cards, put them onto the battlefield tapped, then shuffle."
Fierce Empath,Creature — Elf,{2}{G},1,1,common,G,"When this creature enters, you may search your library for a creature card with mana value 6 or greater, reveal it, put it into your hand, then shuffle."
"Fynn, the Fangbearer",Legendary Creature — Human Warrior,{1}{G},1,3,uncommon,G,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Whenever a creature you control with deathtouch deals combat damage to a player, that player gets two poison counters. (A player with ten or more poison counters loses the game.)"
Gnarlback Rhino,Creature — Rhino,{2}{G}{G},4,4,uncommon,G,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Whenever you cast a spell that targets this creature, draw a card."
Heroes' Bane,Creature — Hydra,{3}{G}{G},0,0,rare,G,"This creature enters with four +1/+1 counters on it.
{2}{G}{G}: Put X +1/+1 counters on this creature, where X is its power."
Mold Adder,Creature — Fungus Snake,{G},1,1,uncommon,G,"Whenever an opponent casts a blue or black spell, you may put a +1/+1 counter on this creature."
Ordeal of Nylea,Enchantment — Aura,{1}{G},,,uncommon,G,"Enchant creature
Whenever enchanted creature attacks, put a +1/+1 counter on it. Then if it has three or more +1/+1 counters on it, sacrifice this Aura.
When you sacrifice this Aura, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
Predator Ooze,Creature — Ooze,{G}{G}{G},1,1,rare,G,"Indestructible (Damage and effects that say ""destroy"" don't destroy this creature.)
Whenever this creature attacks, put a +1/+1 counter on it.
Whenever a creature dealt damage by this creature this turn dies, put a +1/+1 counter on this creature."
Primal Might,Sorcery,{X}{G},,,rare,G,Target creature you control gets +X/+X until end of turn. Then it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)
Primeval Bounty,Enchantment,{5}{G},,,mythic,G,"Whenever you cast a creature spell, create a 3/3 green Beast creature token.
Whenever you cast a noncreature spell, put three +1/+1 counters on target creature you control.
Landfall — Whenever a land you control enters, you gain 3 life."
Rampaging Baloths,Creature — Beast,{4}{G}{G},6,6,rare,G,"Trample
Landfall — Whenever a land you control enters, create a 4/4 green Beast creature token."
Springbloom Druid,Creature — Elf Druid,{2}{G},1,1,common,G,"When this creature enters, you may sacrifice a land. If you do, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
"Surrak, the Hunt Caller",Legendary Creature — Human Warrior,{2}{G}{G},5,4,rare,G,"Formidable — At the beginning of combat on your turn, if creatures you control have total power 8 or greater, target creature you control gains haste until end of turn. (It can attack and {T} no matter when it came under your control.)"
Venom Connoisseur,Creature — Human Druid,{1}{G},2,2,uncommon,G,"Alliance — Whenever another creature you control enters, this creature gains deathtouch until end of turn. If this is the second time this ability has resolved this turn, all creatures you control gain deathtouch until end of turn."
Vizier of the Menagerie,Creature — Snake Cleric,{3}{G},3,4,mythic,G,"You may look at the top card of your library any time.
You may cast creature spells from the top of your library.
You can spend mana of any type to cast creature spells."
Wildborn Preserver,Creature — Elf Archer,{1}{G},2,2,rare,G,"Flash (You may cast this spell any time you could cast an instant.)
Reach (This creature can block creatures with flying.)
Whenever another non-Human creature you control enters, you may pay {X}. When you do, put X +1/+1 counters on this creature."
"Aurelia, the Warleader",Legendary Creature — Angel,{2}{R}{R}{W}{W},3,4,mythic,"R,W","Flying, vigilance, haste
Whenever Aurelia attacks for the first time each turn, untap all creatures you control. After this phase, there is an additional combat phase."
"Ayli, Eternal Pilgrim",Legendary Creature — Kor Cleric,{W}{B},2,3,rare,"B,W","Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
{1}, Sacrifice another creature: You gain life equal to the sacrificed creature's toughness.
{1}{W}{B}, Sacrifice another creature: Exile target nonland permanent. Activate only if you have at least 10 life more than your starting life total."
Cloudblazer,Creature — Human Scout,{3}{W}{U},2,2,uncommon,"U,W","Flying
When this creature enters, you gain 2 life and draw two cards."
Deadly Brew,Sorcery,{B}{G},,,uncommon,"B,G","Each player sacrifices a creature or planeswalker of their choice. If you sacrificed a permanent this way, you may return another permanent card from your graveyard to your hand."
Drogskol Reaver,Creature — Spirit,{5}{W}{U},3,5,rare,"U,W","Flying
Double strike (This creature deals both first-strike and regular combat damage.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Whenever you gain life, draw a card."
Dryad Militant,Creature — Dryad Soldier,{G/W},2,1,uncommon,"G,W","({G/W} can be paid with either {G} or {W}.)
If an instant or sorcery card would be put into a graveyard from anywhere, exile it instead."
Enigma Drake,Creature — Drake,{1}{U}{R},*,4,uncommon,"R,U","Flying
Enigma Drake's power is equal to the number of instant and sorcery cards in your graveyard."
"Garna, Bloodfist of Keld",Legendary Creature — Human Berserker,{1}{B}{R}{R},4,3,uncommon,"B,R","Whenever another creature you control dies, draw a card if it was attacking. Otherwise, Garna deals 1 damage to each opponent."
"Halana and Alena, Partners",Legendary Creature — Human Ranger,{2}{R}{G},2,3,rare,"G,R","First strike (This creature deals combat damage before creatures without first strike.)
Reach (This creature can block creatures with flying.)
At the beginning of combat on your turn, put X +1/+1 counters on another target creature you control, where X is Halana and Alena's power. That creature gains haste until end of turn."
Immersturm Predator,Creature — Vampire Dragon,{2}{B}{R},3,3,rare,"B,R","Flying
Whenever this creature becomes tapped, exile up to one target card from a graveyard and put a +1/+1 counter on this creature.
Sacrifice another creature: This creature gains indestructible until end of turn. Tap it."
Maelstrom Pulse,Sorcery,{1}{B}{G},,,rare,"B,G",Destroy target nonland permanent and all other permanents with the same name as that permanent.
Mortify,Instant,{1}{W}{B},,,uncommon,"B,W",Destroy target creature or enchantment.
"Ovika, Enigma Goliath",Legendary Creature — Phyrexian Nightmare,{5}{U}{R},6,6,rare,"R,U","Flying
Ward—{3}, Pay 3 life.
Whenever you cast a noncreature spell, create X 1/1 red Phyrexian Goblin creature tokens, where X is the mana value of that spell. They gain haste until end of turn."
Prime Speaker Zegana,Legendary Creature — Merfolk Wizard,{2}{G}{G}{U}{U},1,1,rare,"G,U","Prime Speaker Zegana enters with X +1/+1 counters on it, where X is the greatest power among other creatures you control.
When Prime Speaker Zegana enters, draw cards equal to its power."
Savage Ventmaw,Creature — Dragon,{4}{R}{G},4,4,uncommon,"G,R","Flying
Whenever this creature attacks, add {R}{R}{R}{G}{G}{G}. Until end of turn, you don't lose this mana as steps and phases end."
Teach by Example,Instant,{U/R}{U/R},,,uncommon,"R,U","({U/R} can be paid with either {U} or {R}.)
When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy."
Trygon Predator,Creature — Beast,{1}{G}{U},2,3,uncommon,"G,U","Flying
Whenever this creature deals combat damage to a player, you may destroy target artifact or enchantment that player controls."
Wilt-Leaf Liege,Creature — Elf Knight,{1}{G/W}{G/W}{G/W},4,4,rare,"G,W","({G/W} can be paid with either {G} or {W}.)
Other green creatures you control get +1/+1.
Other white creatures you control get +1/+1.
If a spell or ability an opponent controls causes you to discard this card, put it onto the battlefield instead of putting it into your graveyard."
Basilisk Collar,Artifact — Equipment,{1},,,rare,,"Equipped creature has deathtouch and lifelink. (Any amount of damage it deals to a creature is enough to destroy it. Damage dealt by this creature also causes you to gain that much life.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Cultivator's Caravan,Artifact — Vehicle,{3},5,5,rare,,"{T}: Add one mana of any color.
Crew 3 (Tap any number of creatures you control with total power 3 or more: This Vehicle becomes an artifact creature until end of turn.)"
Darksteel Colossus,Artifact Creature — Golem,{11},11,11,mythic,,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
Indestructible (Damage and effects that say ""destroy"" don't destroy this creature.)
If Darksteel Colossus would be put into a graveyard from anywhere, reveal Darksteel Colossus and shuffle it into its owner's library instead."
Diamond Mare,Artifact Creature — Horse,{2},1,3,uncommon,,"As this creature enters, choose a color.
Whenever you cast a spell of the chosen color, you gain 1 life."
Feldon's Cane,Artifact,{1},,,uncommon,,"{T}, Exile this artifact: Shuffle your graveyard into your library."
Fireshrieker,Artifact — Equipment,{3},,,uncommon,,"Equipped creature has double strike. (It deals both first-strike and regular combat damage.)
Equip {2} ({2}: Attach to target creature you control. Equip only as a sorcery.)"
Gate Colossus,Artifact Creature — Construct,{8},8,8,uncommon,,"Affinity for Gates (This spell costs {1} less to cast for each Gate you control.)
This creature can't be blocked by creatures with power 2 or less.
Whenever a Gate you control enters, you may put this card from your graveyard on top of your library."
Mazemind Tome,Artifact,{2},,,rare,,"{T}, Put a page counter on this artifact: Scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{2}, {T}, Put a page counter on this artifact: Draw a card.
When there are four or more page counters on this artifact, exile it. If you do, you gain 4 life."
Pyromancer's Goggles,Legendary Artifact,{5},,,mythic,,"{T}: Add {R}. When that mana is spent to cast a red instant or sorcery spell, copy that spell and you may choose new targets for the copy."
"Ramos, Dragon Engine",Legendary Artifact Creature — Dragon,{6},4,4,mythic,,"Flying
Whenever you cast a spell, put a +1/+1 counter on Ramos for each of that spell's colors.
Remove five +1/+1 counters from Ramos: Add {W}{W}{U}{U}{B}{B}{R}{R}{G}{G}. Activate only once each turn."
Sorcerous Spyglass,Artifact,{2},,,uncommon,,"As this artifact enters, look at an opponent's hand, then choose any card name.
Activated abilities of sources with the chosen name can't be activated unless they're mana abilities."
Soul-Guide Lantern,Artifact,{1},,,uncommon,,"When this artifact enters, exile target card from a graveyard.
{T}, Sacrifice this artifact: Exile each opponent's graveyard.
{1}, {T}, Sacrifice this artifact: Draw a card."
Steel Hellkite,Artifact Creature — Dragon,{6},5,5,rare,,"Flying
{2}: This creature gets +1/+0 until end of turn.
{X}: Destroy each nonland permanent with mana value X whose controller was dealt combat damage by this creature this turn. Activate only once each turn."
Three Tree Mascot,Artifact Creature — Shapeshifter,{2},2,1,common,,"Changeling (This card is every creature type.)
{1}: Add one mana of any color. Activate only once each turn."
Azorius Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {W} or {U}."
Boros Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {R} or {W}."
Crawling Barrens,Land,,,,rare,,"{T}: Add {C}.
{4}: Put two +1/+1 counters on this land. Then you may have it become a 0/0 Elemental creature until end of turn. It's still a land."
Cryptic Caves,Land,,,,uncommon,,"{T}: Add {C}.
{1}, {T}, Sacrifice this land: Draw a card. Activate only if you control five or more lands."
Demolition Field,Land,,,,uncommon,,"{T}: Add {C}.
{2}, {T}, Sacrifice this land: Destroy target nonbasic land an opponent controls. That land's controller may search their library for a basic land card, put it onto the battlefield, then shuffle. You may search your library for a basic land card, put it onto the battlefield, then shuffle."
Dimir Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {U} or {B}."
Golgari Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {B} or {G}."
Gruul Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {R} or {G}."
Izzet Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {U} or {R}."
Orzhov Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {W} or {B}."
Rakdos Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {B} or {R}."
Selesnya Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {G} or {W}."
Simic Guildgate,Land — Gate,,,,common,,"This land enters tapped.
{T}: Add {G} or {U}."
Temple of Abandon,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {R} or {G}."
Temple of Deceit,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {U} or {B}."
Temple of Enlightenment,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {W} or {U}."
Temple of Epiphany,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {U} or {R}."
Temple of Malady,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {B} or {G}."
Temple of Malice,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {B} or {R}."
Temple of Mystery,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {G} or {U}."
Temple of Plenty,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {G} or {W}."
Temple of Silence,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {W} or {B}."
Temple of Triumph,Land,,,,rare,,"This land enters tapped.
When this land enters, scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{T}: Add {R} or {W}."
Angel of Vitality,Creature — Angel,{2}{W},2,2,uncommon,W,"Flying
If you would gain life, you gain that much life plus 1 instead.
This creature gets +2/+2 as long as you have 25 or more life."
Lyra Dawnbringer,Legendary Creature — Angel,{3}{W}{W},5,5,mythic,W,"Flying
First strike (This creature deals combat damage before creatures without first strike.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Other Angels you control get +1/+1 and have lifelink."
Make a Stand,Instant,{2}{W},,,uncommon,W,"Creatures you control get +1/+0 and gain indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy them.)"
Confiscate,Enchantment — Aura,{4}{U}{U},,,uncommon,U,"Enchant permanent
You control enchanted permanent."
Negate,Instant,{1}{U},,,common,U,Counter target noncreature spell.
Rite of Replication,Sorcery,{2}{U}{U},,,rare,U,"Kicker {5} (You may pay an additional {5} as you cast this spell.)
Create a token that's a copy of target creature. If this spell was kicked, create five of those tokens instead."
Feed the Swarm,Sorcery,{1}{B},,,common,B,Destroy target creature or enchantment an opponent controls. You lose life equal to that permanent's mana value.
Gatekeeper of Malakir,Creature — Vampire Warrior,{B}{B},2,2,uncommon,B,"Kicker {B} (You may pay an additional {B} as you cast this spell.)
When this creature enters, if it was kicked, target player sacrifices a creature of their choice."
Massacre Wurm,Creature — Phyrexian Wurm,{3}{B}{B}{B},6,5,mythic,B,"When this creature enters, creatures your opponents control get -2/-2 until end of turn.
Whenever a creature an opponent controls dies, that player loses 2 life."
Gratuitous Violence,Enchantment,{2}{R}{R}{R},,,rare,R,"If a creature you control would deal damage to a permanent or player, it deals double that damage instead."
Guttersnipe,Creature — Goblin Shaman,{2}{R},2,2,uncommon,R,"Whenever you cast an instant or sorcery spell, this creature deals 2 damage to each opponent."
Impact Tremors,Enchantment,{1}{R},,,common,R,"Whenever a creature you control enters, this enchantment deals 1 damage to each opponent."
Gigantosaurus,Creature — Dinosaur,{G}{G}{G}{G}{G},10,10,rare,G,
Imperious Perfect,Creature — Elf Warrior,{2}{G},2,2,uncommon,G,"Other Elves you control get +1/+1.
{G}, {T}: Create a 1/1 green Elf Warrior creature token."
Pelakka Wurm,Creature — Wurm,{4}{G}{G}{G},7,7,uncommon,G,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
When this creature enters, you gain 7 life.
When this creature dies, draw a card."
Boros Charm,Instant,{R}{W},,,uncommon,"R,W","Choose one —
• Boros Charm deals 4 damage to target player or planeswalker.
• Permanents you control gain indestructible until end of turn.
• Target creature gains double strike until end of turn."
Unflinching Courage,Enchantment — Aura,{1}{G}{W},,,uncommon,"G,W","Enchant creature
Enchanted creature gets +2/+2 and has trample and lifelink. (Damage dealt by the creature also causes its controller to gain that much life.)"
Adaptive Automaton,Artifact Creature — Construct,{3},2,2,rare,,"As this creature enters, choose a creature type.
This creature is the chosen type in addition to its other types.
Other creatures you control of the chosen type get +1/+1."
Expedition Map,Artifact,{1},,,common,,"{2}, {T}, Sacrifice this artifact: Search your library for a land card, reveal it, put it into your hand, then shuffle."
Gilded Lotus,Artifact,{5},,,rare,,{T}: Add three mana of any one color.
Hedron Archive,Artifact,{4},,,uncommon,,"{T}: Add {C}{C}.
{2}, {T}, Sacrifice this artifact: Draw two cards."
Maze's End,Land,,,,mythic,,"This land enters tapped.
{T}: Add {C}.
{3}, {T}, Return this land to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you control ten or more Gates with different names, you win the game."
Phyrexian Arena,Enchantment,{1}{B}{B},,,rare,B,"At the beginning of your upkeep, you draw a card and you lose 1 life."
Solemn Simulacrum,Artifact Creature — Golem,{4},2,2,rare,,"When this creature enters, you may search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.
When this creature dies, you may draw a card."
Hinterland Sanctifier,Creature — Rabbit Cleric,{W},1,2,common,W,"Whenever another creature you control enters, you gain 1 life."
Crusader of Odric,Creature — Human Soldier,{2}{W},*,*,common,W,Crusader of Odric's power and toughness are each equal to the number of creatures you control.
Dazzling Angel,Creature — Angel,{2}{W},2,3,common,W,"Flying
Whenever another creature you control enters, you gain 1 life."
Exemplar of Light,Creature — Angel,{2}{W}{W},3,3,rare,W,"Flying
Whenever you gain life, put a +1/+1 counter on this creature.
Whenever you put one or more +1/+1 counters on this creature, draw a card. This ability triggers only once each turn."
Healer's Hawk,Creature — Bird,{W},1,1,common,W,"Flying
Lifelink (Damage dealt by this creature also causes you to gain that much life.)"
Herald of Faith,Creature — Angel,{3}{W}{W},4,3,uncommon,W,"Flying
Whenever this creature attacks, you gain 2 life."
Inspiring Overseer,Creature — Angel Cleric,{2}{W},2,1,common,W,"Flying
When this creature enters, you gain 1 life and draw a card."
"Linden, the Steadfast Queen",Legendary Creature — Human Noble,{W}{W}{W},3,3,rare,W,"Vigilance (Attacking doesn't cause this creature to tap.)
Whenever a white creature you control attacks, you gain 1 life."
Lyra Dawnbringer,Legendary Creature — Angel,{3}{W}{W},5,5,mythic,W,"Flying
First strike (This creature deals combat damage before creatures without first strike.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Other Angels you control get +1/+1 and have lifelink."
Prayer of Binding,Enchantment,{3}{W},,,uncommon,W,"Flash
When this enchantment enters, exile up to one target nonland permanent an opponent controls until this enchantment leaves the battlefield. You gain 2 life."
Serra Angel,Creature — Angel,{3}{W}{W},4,4,uncommon,W,"Flying
Vigilance (Attacking doesn't cause this creature to tap.)"
Arcanis the Omnipotent,Legendary Creature — Wizard,{3}{U}{U}{U},3,4,rare,U,"{T}: Draw three cards.
{2}{U}{U}: Return Arcanis to its owner's hand."
Icewind Elemental,Creature — Elemental,{4}{U},3,4,common,U,"Flying
When this creature enters, draw a card, then discard a card."
Kitesail Corsair,Creature — Human Pirate,{1}{U},2,1,common,U,This creature has flying as long as it's attacking.
Mocking Sprite,Creature — Faerie Rogue,{2}{U},2,1,common,U,"Flying
Instant and sorcery spells you cast cost {1} less to cast."
Rune-Sealed Wall,Artifact Creature — Wall,{2}{U},0,6,uncommon,U,"Defender
{T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)"
Spectral Sailor,Creature — Spirit Pirate,{U},1,1,uncommon,U,"Flash (You may cast this spell any time you could cast an instant.)
Flying
{3}{U}: Draw a card."
Sphinx of the Final Word,Creature — Sphinx,{5}{U}{U},5,5,mythic,U,"This spell can't be countered.
Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Instant and sorcery spells you control can't be countered."
Strix Lookout,Creature — Bird,{1}{U},1,2,common,U,"Flying, vigilance (Attacking doesn't cause this creature to tap.)
{1}{U}, {T}: Draw a card, then discard a card."
Tempest Djinn,Creature — Djinn,{U}{U}{U},0,4,rare,U,"Flying
This creature gets +1/+0 for each basic Island you control."
Unsummon,Instant,{U},,,common,U,Return target creature to its owner's hand.
Bloodtithe Collector,Creature — Vampire Noble,{4}{B},3,4,uncommon,B,"Flying
When this creature enters, if an opponent lost life this turn, each opponent discards a card."
Gatekeeper of Malakir,Creature — Vampire Warrior,{B}{B},2,2,uncommon,B,"Kicker {B} (You may pay an additional {B} as you cast this spell.)
When this creature enters, if it was kicked, target player sacrifices a creature of their choice."
Kalastria Highborn,Creature — Vampire Shaman,{B}{B},2,2,rare,B,"Whenever this creature or another Vampire you control dies, you may pay {B}. If you do, target player loses 2 life and you gain 2 life."
Massacre Wurm,Creature — Phyrexian Wurm,{3}{B}{B}{B},6,5,mythic,B,"When this creature enters, creatures your opponents control get -2/-2 until end of turn.
Whenever a creature an opponent controls dies, that player loses 2 life."
Pulse Tracker,Creature — Vampire Rogue,{B},1,1,common,B,"Whenever this creature attacks, each opponent loses 1 life."
Vampire Interloper,Creature — Vampire Scout,{1}{B},2,1,common,B,"Flying
This creature can't block."
Vampire Nighthawk,Creature — Vampire Shaman,{1}{B}{B},2,3,uncommon,B,"Flying
Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Lifelink (Damage dealt by this creature also causes you to gain that much life.)"
Vampire Soulcaller,Creature — Vampire Warlock,{4}{B},3,2,common,B,"Flying
This creature can't block.
When this creature enters, return target creature card from your graveyard to your hand."
Carnelian Orb of Dragonkind,Artifact,{2}{R},,,common,R,"{T}: Add {R}. If that mana is spent on a Dragon creature spell, it gains haste until end of turn."
"Drakuseth, Maw of Flames",Legendary Creature — Dragon,{4}{R}{R}{R},7,7,rare,R,"Flying
Whenever Drakuseth attacks, it deals 4 damage to any target and 3 damage to each of up to two other targets."
Firespitter Whelp,Creature — Dragon,{2}{R},2,2,uncommon,R,"Flying
Whenever you cast a noncreature or Dragon spell, this creature deals 1 damage to each opponent."
Kargan Dragonrider,Creature — Human Warrior,{1}{R},2,2,common,R,"As long as you control a Dragon, this creature has flying."
Shivan Dragon,Creature — Dragon,{4}{R}{R},5,5,uncommon,R,"Flying
{R}: This creature gets +1/+0 until end of turn."
Terror of Mount Velus,Creature — Dragon,{5}{R}{R},5,5,rare,R,"Flying
Double strike (This creature deals both first-strike and regular combat damage.)
When this creature enters, creatures you control gain double strike until end of turn."
Pelakka Wurm,Creature — Wurm,{4}{G}{G}{G},7,7,uncommon,G,"Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
When this creature enters, you gain 7 life.
When this creature dies, draw a card."
Primal Might,Sorcery,{X}{G},,,rare,G,Target creature you control gets +X/+X until end of turn. Then it fights up to one target creature you don't control. (Each deals damage equal to its power to the other.)
Springbloom Druid,Creature — Elf Druid,{2}{G},1,1,common,G,"When this creature enters, you may sacrifice a land. If you do, search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle."
"Surrak, the Hunt Caller",Legendary Creature — Human Warrior,{2}{G}{G},5,4,rare,G,"Formidable — At the beginning of combat on your turn, if creatures you control have total power 8 or greater, target creature you control gains haste until end of turn. (It can attack and {T} no matter when it came under your control.)"
Vizier of the Menagerie,Creature — Snake Cleric,{3}{G},3,4,mythic,G,"You may look at the top card of your library any time.
You may cast creature spells from the top of your library.
You can spend mana of any type to cast creature spells."
Diamond Mare,Artifact Creature — Horse,{2},1,3,uncommon,,"As this creature enters, choose a color.
Whenever you cast a spell of the chosen color, you gain 1 life."
Cryptic Caves,Land,,,,uncommon,,"{T}: Add {C}.
{1}, {T}, Sacrifice this land: Draw a card. Activate only if you control five or more lands."
